,name,address,website,phone_number,reviews_count,reviews_average,images
0,Clb Billiards Angel,"162 Đ. Lê Lai, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh, Vietnam",,,6,3.7,"['https://lh5.googleusercontent.com/p/AF1QipOMZ7Bmfxec20jYR-Caj8WCQy2fTZtYOzhHpzjo', 'https://lh3.googleusercontent.com/a-/AD_cMMS8A3Sk7temXaovVBGQ9nwzOM8Cbj5hLP_XQv-AOg']"
1,Clb Billiards Number One,"1 Đ. Đề Thám, Phường Cô Giang, Quận 1, Thành phố Hồ Chí Minh, Vietnam",,,,,"['https://lh5.googleusercontent.com/p/AF1QipOMZ7Bmfxec20jYR-Caj8WCQy2fTZtYOzhHpzjo', 'https://lh5.googleusercontent.com/p/AF1QipNfuKvkqfxNj-VuBLdEe8oCHVcneZYNpJWUof_2']"
2,Billiards Clup TOP ONE,"239 Đ. Số 11, Linh Xuân, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam",,+84 91 986 19 95,10,4.6,"['https://lh5.googleusercontent.com/p/AF1QipPch5gM1S_X2tgOt8aHWqbABPlbnHk2VgdfvSA5', 'https://lh5.googleusercontent.com/p/AF1QipNorP9_QXEIFtzJYYfdZYk7j9v8Eyh_18d1boji']"
3,Clb Billiards Star,"D2 Đ. Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Thành phố Hồ Chí Minh, Vietnam",,,,,"['https://lh5.googleusercontent.com/p/AF1QipPch5gM1S_X2tgOt8aHWqbABPlbnHk2VgdfvSA5', 'https://lh5.googleusercontent.com/p/AF1QipOMZ7Bmfxec20jYR-Caj8WCQy2fTZtYOzhHpzjo']"
4,Clb Billiards 261,"261 Hoàng Hữu Nam, Long Thạnh Mỹ, Quận 9, Thành phố Hồ Chí Minh, Vietnam",,+84 90 225 38 22,4,4.8,"['https://lh3.googleusercontent.com/a-/AD_cMMRRs_JiRO4JUOrjcYkOn3dAmGJd6KCCRfS9Vms2PQ', 'https://lh3.googleusercontent.com/a/AAcHTtf6zRj6TwJJg3LgNjQY2krSA1l_nJMI9dExaoHA']"
5,Bida Linh Cát,"385E Đ. Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Thành phố Hồ Chí Minh, Vietnam",bida-linh-cat.business.site,+84 91 880 33 33,78,4.4,"['https://lh5.googleusercontent.com/p/AF1QipPdr4feHmtei9nb4vzCZoLOmrJ7GKV_TDJFU2Df', 'https://lh5.googleusercontent.com/p/AF1QipMGfIlstjZmLKekP0PHICqS34GOT8ZYazPngz__']"
6,Câu Lạc Bộ,"116 Đ. Nguyễn Du, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh, Vietnam",,,1,5.0,"['https://lh5.googleusercontent.com/p/AF1QipNpPCl38iJ6ISVXZzHHeeLdqHoMYIHDKo749crY', 'https://lh5.googleusercontent.com/p/AF1QipPdr4feHmtei9nb4vzCZoLOmrJ7GKV_TDJFU2Df']"
7,Clb Billiards 32,"32 Đặng Văn Bi, Bình Thọ, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam",,+84 28 3896 2262,,,"['https://lh5.googleusercontent.com/p/AF1QipNpPCl38iJ6ISVXZzHHeeLdqHoMYIHDKo749crY', 'https://lh5.googleusercontent.com/p/AF1QipN27ilCNJKLwMetrBNqUSRTZo1h-vzCWPZex93r']"
8,Billiards Club Phương Vy,"87/5 Đ. Hoàng Diệu 2, Phường Linh Trung, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam",,,19,4.0,"['https://lh5.googleusercontent.com/p/AF1QipP3bCGEP967QeFyt9EUOfI_Tqbo5o0Dv2qUw6hX', 'https://lh5.googleusercontent.com/p/AF1QipOsK5QObCrS-ikVA7WjbMpFWaErneGPD1WEUKVk']"
9,Billiard A7 Club,"38 Đ. số 17, Phường Linh Trung, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam",,,,,"['https://lh5.googleusercontent.com/p/AF1QipP3bCGEP967QeFyt9EUOfI_Tqbo5o0Dv2qUw6hX', 'https://lh5.googleusercontent.com/p/AF1QipNzHyoQF9Hvf4Q6oh8p3460aZVN10GGiPsYT-tA']"
