,name,address,website,phone_number,reviews_count,reviews_average,images
0,Lala Land Acoustic Cafe | Coffee không gian đẹp quận 1 | Coffee Acoustic district one,"8 Đ. Lê Thánh Tôn, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 700000, Vietnam",,+84 97 815 79 43,25,4.3,"['https://lh5.googleusercontent.com/p/AF1QipPENWkWCjXiNbNXqGipyynKfvDjtPYQu48gdAF5', 'https://lh5.googleusercontent.com/p/AF1QipMiynNkOlJfX7bw2QAwHTf25VahaCFAann795qj']"
1,Đẹp Café,"Bưu điện, Trung Tâm, 3 Đường Nguyễn Văn Bình, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 710028, Vietnam",,,61,4.4,"['https://lh5.googleusercontent.com/p/AF1QipMiynNkOlJfX7bw2QAwHTf25VahaCFAann795qj', 'https://lh5.googleusercontent.com/p/AF1QipPENWkWCjXiNbNXqGipyynKfvDjtPYQu48gdAF5']"
2,Soo Kafe,"10 Phan Kế Bính, Đa Kao, Quận 1, Thành phố Hồ Chí Minh 70000, Vietnam",sookafe.com,+84 98 593 92 58,246,4.6,"['https://lh5.googleusercontent.com/p/AF1QipN8XVzdrsg-Wy1Xkw2daN1F3G303ZDKnKCchIaR', 'https://lh5.googleusercontent.com/p/AF1QipMiynNkOlJfX7bw2QAwHTf25VahaCFAann795qj']"
3,View Đẹp,"159 Đ. Phạm Ngũ Lão, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh, Vietnam",,,5,4.6,"['https://lh5.googleusercontent.com/p/AF1QipNtpMRYldrB4NJN-3m7hRV93WQ4V7q2jwasOwiG', 'https://lh5.googleusercontent.com/p/AF1QipN8XVzdrsg-Wy1Xkw2daN1F3G303ZDKnKCchIaR']"
4,NEP QUYT VANG - QUAN 1,"216 Lê Lai, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh, Vietnam",nqv.vn,+84 93 371 25 25,13,4.6,"['https://lh5.googleusercontent.com/p/AF1QipP2KPZfej8SgnHRzA7fbUjFLTsxvz5xCMaRcYab', 'https://lh5.googleusercontent.com/p/AF1QipNtpMRYldrB4NJN-3m7hRV93WQ4V7q2jwasOwiG']"
5,CAFE NGƯỜI SÀI GÒN,"9 Đ. Thái Văn Lung, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Vietnam",facebook.com,+84 789 771 077,,,"['https://lh5.googleusercontent.com/p/AF1QipP8vdUWCAb7ZlcvKjIRZCqdHcg-luGTORhweNyq', 'https://lh5.googleusercontent.com/p/AF1QipP2KPZfej8SgnHRzA7fbUjFLTsxvz5xCMaRcYab']"
6,Danshari Coffee Phan Kế Bính,"9A Phan Kế Bính, Đa Kao, Quận 1, Thành phố Hồ Chí Minh 700000, Vietnam",dansharicoffee.com,+84 703 931 783,314,4.3,"['https://lh5.googleusercontent.com/p/AF1QipNkXN2oBKZRw_6x_STMPu6ZtTOaBQwGMvC2fp62', 'https://lh5.googleusercontent.com/p/AF1QipP8vdUWCAb7ZlcvKjIRZCqdHcg-luGTORhweNyq']"
7,Cà phê cô Ba Rooftop,"27 Ngô Đức Kế, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Vietnam",foody.vn,,113,4.4,"['https://lh5.googleusercontent.com/p/AF1QipMSQHGD3nTHvoNUxAS-wt9bRDhw00_f8P14_qK3', 'https://lh5.googleusercontent.com/p/AF1QipNkXN2oBKZRw_6x_STMPu6ZtTOaBQwGMvC2fp62']"
8,Cafe Cô Ba - Đồng Khởi,"4-6 Đ. Đồng Khởi, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 700000, Vietnam",facebook.com,,,,"['https://lh5.googleusercontent.com/p/AF1QipM5FC8qM0n9kMOnEXEolPwzgNDPeBf-b-bqZFFX', 'https://lh5.googleusercontent.com/p/AF1QipMSQHGD3nTHvoNUxAS-wt9bRDhw00_f8P14_qK3']"
9,Mink Coffee-Cơm niêu-Cơm văn phòng-Phở thố đá quận 1,"39 Ngô Đức Kế, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 700000, Vietnam",coffeecomvanphongquan1.com,+84 797 983 979,20,4.7,"['https://lh5.googleusercontent.com/p/AF1QipOnf6rb1w0PfRy8U00b__VAD0mSjY0boee4Y2Pn', 'https://lh5.googleusercontent.com/p/AF1QipM5FC8qM0n9kMOnEXEolPwzgNDPeBf-b-bqZFFX']"
10,WE's Corner,"P. 70000 1/3, 3 Pasteur, Phường Nguyễn Thái Bình, Quận 1, Thành phố Hồ Chí Minh 700050, Vietnam",wecorner.shop,+84 898 103 302,,,"['https://lh5.googleusercontent.com/p/AF1QipM5wpn3XDKxUMDDIISBc0tordGL-Niw7chwaU1p', 'https://lh5.googleusercontent.com/p/AF1QipOnf6rb1w0PfRy8U00b__VAD0mSjY0boee4Y2Pn']"
11,MyLife Coffee,"2b Đ. Lê Duẩn, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Vietnam",facebook.com,+84 91 999 84 88,,,"['https://lh5.googleusercontent.com/p/AF1QipPiyyUWKPhzmGybbOHn4K9plHOw9xPKt0tJAr2X', 'https://lh5.googleusercontent.com/p/AF1QipM5wpn3XDKxUMDDIISBc0tordGL-Niw7chwaU1p']"
