,name,address,website,phone_number,reviews_count,reviews_average,images
0,Côn Sơn Restaurant & Lounge,"80-84 Trần Quốc Thảo, Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh 700000, Vietnam",business.google.com,+84 90 638 85 98,108,4.3,"['https://lh5.googleusercontent.com/p/AF1QipNvxY2PzWbUyd_Kz1WpQg6o-AtcWPV9ksvmK-i-', 'https://lh5.googleusercontent.com/p/AF1QipNxq2f06grYEj73ZgIPmVy7Xt044vT96Jq0uK36']"
1,"Búp Sky Lounge & Restaurant | Nhà Hàng Rooftop Quận 1, Tp.HCM","65-67-69 Đ. Nguyễn Thái Bình, Phường Nguyễn Thái Bình, Quận 1, Thành phố Hồ Chí Minh 700000, Vietnam",theodyshotel.com,+84 765 599 859,292,4.8,"['https://lh5.googleusercontent.com/p/AF1QipNvxY2PzWbUyd_Kz1WpQg6o-AtcWPV9ksvmK-i-', 'https://lh5.googleusercontent.com/p/AF1QipNxq2f06grYEj73ZgIPmVy7Xt044vT96Jq0uK36']"
2,Hàng Dương Quán Q1,"32-34 Ngô Đức Kế, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Vietnam",hangduongquan.com,+84 96 881 77 88,481,4.5,"['https://lh5.googleusercontent.com/p/AF1QipPoNyJfUWZEyhq7-RY6IBzXaaAsZ4AdMKM4LT0y', 'https://lh5.googleusercontent.com/p/AF1QipNvxY2PzWbUyd_Kz1WpQg6o-AtcWPV9ksvmK-i-']"
3,Ngon Restaurant,"160 Pasteur, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Vietnam",facebook.com,+84 28 3827 7131,,,"['https://lh5.googleusercontent.com/p/AF1QipOLT6ksyzo9CLdmNiSK0MntW3v1eppcdcaO4AVV', 'https://lh5.googleusercontent.com/p/AF1QipPoNyJfUWZEyhq7-RY6IBzXaaAsZ4AdMKM4LT0y']"
4,Pachi Pachi Lẩu Nướng Nhật Bản,"52 Đ. Mạc Đĩnh Chi, Đa Kao, Quận 1, Thành phố Hồ Chí Minh, Vietnam",business.site,+84 28 6295 9294,,,"['https://lh5.googleusercontent.com/p/AF1QipOUTs1JzCZGqxYXtlfI95Sa6gZNBJ4n9bFzPLuk', 'https://lh5.googleusercontent.com/p/AF1QipOLT6ksyzo9CLdmNiSK0MntW3v1eppcdcaO4AVV']"
5,El Gaucho | Hai Ba Trung,"74/1 Hai Bà Trưng, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 100000, Vietnam",vn.elgaucho.asia,+84 28 3827 2090,,,"['https://lh5.googleusercontent.com/p/AF1QipN13meRkgS_N5SIPE4BP0eLA_WapuMD3M47VA_n', 'https://lh5.googleusercontent.com/p/AF1QipOUTs1JzCZGqxYXtlfI95Sa6gZNBJ4n9bFzPLuk']"
6,The Gangs,"32 Đ. Mạc Đĩnh Chi, Đa Kao, Quận 1, Thành phố Hồ Chí Minh 700000, Vietnam",facebook.com,+84 93 156 55 57,,,"['https://lh5.googleusercontent.com/p/AF1QipPGw6Bidjp0V8QBSXzaB8UlItEV5FVKnkPlOwlo', 'https://lh5.googleusercontent.com/p/AF1QipN13meRkgS_N5SIPE4BP0eLA_WapuMD3M47VA_n']"
7,Ẩm Thực RIVIA - RIVIA Food & Dining,"18 Đ. Nguyễn Cư Trinh, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh 700000, Vietnam",amthucrivia.com,+84 764 103 103,566,4.2,"['https://lh5.googleusercontent.com/p/AF1QipNHPJBs3C_tX8m1aWJMwd2W5uE8oJnsUGpYzgvg', 'https://lh5.googleusercontent.com/p/AF1QipPGw6Bidjp0V8QBSXzaB8UlItEV5FVKnkPlOwlo']"
8,Bếp Nhà 196 Lê Thánh Tôn | Nhà hàng quận 1 | Cơm văn phòng quận 1,"196 Đ. Lê Thánh Tôn, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh 70000, Vietnam",,+84 93 899 99 82,22,4.8,"['https://lh5.googleusercontent.com/p/AF1QipPY7Tj2Wto4JnanhyCrV3Wvx4G5WV1qO9XsyCJN', 'https://lh5.googleusercontent.com/p/AF1QipNHPJBs3C_tX8m1aWJMwd2W5uE8oJnsUGpYzgvg']"
9,ANH TUKK Modern Thai Cuisine,"74/7 Hai Bà Trưng, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Vietnam",anhtukksaigon.com,+84 28 3825 1676,,,"['https://lh5.googleusercontent.com/p/AF1QipO_ciZyhi1zlLHrprkY-s75LdkzlV0KVsqmeOk8', 'https://lh5.googleusercontent.com/p/AF1QipPY7Tj2Wto4JnanhyCrV3Wvx4G5WV1qO9XsyCJN']"
